nominal_time,pv,timestamp,value
2026-06-12T20:00:00,BEND:DMPS:400:BACT,2026-06-12T20:00:02,4.000009522282116
2026-06-13T00:00:00,BEND:DMPS:400:BACT,2026-06-13T00:00:02,7.999991930875322
2026-06-13T04:00:00,BEND:DMPS:400:BACT,2026-06-13T04:00:02,7.999999709441514
2026-06-13T08:00:00,BEND:DMPS:400:BACT,2026-06-13T08:00:02,4.999995123100267
2026-06-13T12:00:00,BEND:DMPS:400:BACT,2026-06-13T12:00:02,5.000005369806373
2026-06-13T16:00:00,BEND:DMPS:400:BACT,2026-06-13T16:00:02,5.000001802109856
2026-06-13T20:00:00,BEND:DMPS:400:BACT,2026-06-13T20:00:02,4.99999306232413
2026-06-14T00:00:00,BEND:DMPS:400:BACT,2026-06-14T00:00:02,4.999988162911469
2026-06-14T04:00:00,BEND:DMPS:400:BACT,2026-06-14T04:00:01,4.999991180950178
2026-06-14T08:00:00,BEND:DMPS:400:BACT,2026-06-14T08:00:02,5.000006748109919
2026-06-14T12:00:00,BEND:DMPS:400:BACT,2026-06-14T12:00:02,4.999998223775021
2026-06-14T16:00:00,BEND:DMPS:400:BACT,2026-06-14T16:00:01,4.999998838131534
2026-06-14T20:00:00,BEND:DMPS:400:BACT,2026-06-14T20:00:01,7.999982269489906
2026-06-15T00:00:00,BEND:DMPS:400:BACT,2026-06-15T00:00:02,7.99998804439097
2026-06-15T04:00:00,BEND:DMPS:400:BACT,2026-06-15T04:00:02,7.999985321332246
2026-06-15T08:00:00,BEND:DMPS:400:BACT,2026-06-15T08:00:02,7.999990996864831
2026-06-15T12:00:00,BEND:DMPS:400:BACT,2026-06-15T12:00:01,7.999989182884803
2026-06-15T16:00:00,BEND:DMPS:400:BACT,2026-06-15T16:00:02,7.9999938518635325
2026-06-15T20:00:00,BEND:DMPS:400:BACT,2026-06-15T20:00:02,7.999993198239488
2026-06-16T00:00:00,BEND:DMPS:400:BACT,2026-06-16T00:00:02,7.999997438343528
2026-06-16T04:00:00,BEND:DMPS:400:BACT,2026-06-16T04:00:02,7.99998053284039
2026-06-16T08:00:00,BEND:DMPS:400:BACT,2026-06-16T08:00:01,7.99998701031654
2026-06-16T12:00:00,BEND:DMPS:400:BACT,2026-06-16T12:00:02,7.99998805598008
2026-06-16T16:00:00,BEND:DMPS:400:BACT,2026-06-16T16:00:02,7.999992441612281
2026-06-16T20:00:00,BEND:DMPS:400:BACT,2026-06-16T20:00:00,7.9999956187126235
2026-06-17T00:00:00,BEND:DMPS:400:BACT,2026-06-17T00:00:01,7.999995199109027
2026-06-17T04:00:00,BEND:DMPS:400:BACT,2026-06-17T04:00:02,7.999992800089696
2026-06-17T08:00:00,BEND:DMPS:400:BACT,2026-06-17T08:00:02,8.000001740673675
2026-06-17T12:00:00,BEND:DMPS:400:BACT,2026-06-17T12:00:02,7.999999357361156
2026-06-17T16:00:00,BEND:DMPS:400:BACT,2026-06-17T16:00:01,7.9999902217609025
2026-06-17T20:00:00,BEND:DMPS:400:BACT,2026-06-17T20:00:02,7.9999930653395
